Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	-2.4441e-004
6	-5.4423e-004
7	-6.0126e-004
8	-6.2575e-004
9	-6.2524e-004
10	-6.2023e-004
11	-6.1203e-004
12	-6.0274e-004
13	-5.9268e-004
14	-5.8219e-004
15	-5.7142e-004
16	-5.6048e-004
17	-5.4943e-004
18	-5.3833e-004
19	-5.2719e-004
20	-5.1605e-004
21	-5.0492e-004
22	-4.938e-004
23	-4.827e-004
24	-4.7162e-004
25	-4.6057e-004
26	-4.4955e-004
27	-4.3856e-004
28	-4.2761e-004
29	-4.167e-004
30	-4.0584e-004
31	-3.9502e-004
32	-3.8426e-004
33	-3.7354e-004
34	-3.6289e-004
35	-3.523e-004
36	-3.4177e-004
37	-3.3131e-004
38	-3.2092e-004
39	-3.1061e-004
40	-3.0039e-004
41	-2.9025e-004
42	-2.8019e-004
43	-2.7024e-004
44	-2.6038e-004
45	-2.5062e-004
46	-2.4097e-004
47	-2.3143e-004
48	-2.2201e-004
49	-2.1271e-004
50	-2.0354e-004
51	-1.9449e-004
52	-1.8558e-004
53	-1.7682e-004
54	-1.6819e-004
55	-1.5972e-004
56	-1.514e-004
57	-1.4324e-004
58	-1.3525e-004
59	-1.2743e-004
60	-1.1978e-004
61	-1.1231e-004
62	-1.0502e-004
63	-9.793e-005
64	-9.1032e-005
65	-8.4335e-005
66	-7.7843e-005
67	-7.1563e-005
68	-6.5498e-005
69	-5.9655e-005
70	-5.4039e-005
71	-4.8654e-005
72	-4.3507e-005
73	-3.8602e-005
74	-3.3945e-005
75	-2.9541e-005
76	-2.5396e-005
77	-2.1516e-005
78	-1.7907e-005
79	-1.4577e-005
80	-1.1536e-005
81	-8.7936e-006
82	-6.3658e-006
83	-4.2721e-006
84	-2.5393e-006
85	-1.2018e-006
86	-3.0042e-007
87	1.3085e-007
88	1.0552e-007
89	0.
90	-1.9296e-008
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	2.4441e-004
99	5.4423e-004
100	6.0126e-004
101	6.2575e-004
102	6.2524e-004
103	6.2023e-004
104	6.1203e-004
105	6.0274e-004
106	5.9268e-004
107	5.8219e-004
108	5.7142e-004
109	5.6048e-004
