Node Number	Directional Deformation (m)
1	0.
2	0.
3	0.
4	0.
5	7.2877e-005
6	7.6521e-004
7	2.1934e-003
8	4.397e-003
9	7.3851e-003
10	1.1154e-002
11	1.5695e-002
12	2.0994e-002
13	2.7037e-002
14	3.3808e-002
15	4.1292e-002
16	4.9473e-002
17	5.8336e-002
18	6.7866e-002
19	7.8048e-002
20	8.8866e-002
21	0.10031
22	0.11236
23	0.125
24	0.13822
25	0.15201
26	0.16635
27	0.18123
28	0.19663
29	0.21255
30	0.22896
31	0.24586
32	0.26323
33	0.28106
34	0.29934
35	0.31805
36	0.33718
37	0.35672
38	0.37665
39	0.39697
40	0.41766
41	0.43871
42	0.4601
43	0.48183
44	0.50388
45	0.52624
46	0.5489
47	0.57184
48	0.59506
49	0.61855
50	0.64229
51	0.66628
52	0.69049
53	0.71493
54	0.73958
55	0.76443
56	0.78947
57	0.81469
58	0.84008
59	0.86563
60	0.89133
61	0.91718
62	0.94316
63	0.96927
64	0.99549
65	1.0218
66	1.0483
67	1.0748
68	1.1014
69	1.1281
70	1.1548
71	1.1817
72	1.2085
73	1.2355
74	1.2625
75	1.2895
76	1.3165
77	1.3436
78	1.3707
79	1.3979
80	1.425
81	1.4522
82	1.4794
83	1.5066
84	1.5338
85	1.561
86	1.5882
87	1.6154
88	1.6426
89	0.
90	1.6698
91	0.
92	0.
93	0.
94	0.
95	0.
96	0.
97	0.
98	7.2877e-005
99	7.6521e-004
100	2.1934e-003
101	4.397e-003
102	7.3851e-003
103	1.1154e-002
104	1.5695e-002
105	2.0994e-002
106	2.7037e-002
107	3.3808e-002
108	4.1292e-002
109	4.9473e-002
110	5.8336e-002
111	6.7866e-002
112	7.8048e-002
113	8.8866e-002
114	0.10031
115	0.11236
116	0.125
117	0.13822
118	0.15201
119	0.16635
120	0.18123
121	0.19663
122	0.21255
123	0.22896
124	0.24586
125	0.26323
126	0.28106
127	0.29934
128	0.31805
129	0.33718
130	0.35672
131	0.37665
132	0.39697
133	0.41766
134	0.43871
135	0.4601
136	0.48183
137	0.50388
138	0.52624
139	0.5489
140	0.57184
141	0.59506
142	0.61855
143	0.64229
144	0.66628
145	0.69049
146	0.71493
147	0.73958
148	0.76443
149	0.78947
