# _tick,_time,plr_track_level,track_level,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,agent_plr_passable_mass,agent_plr_max_score,agent_plr_weighted_num_edits,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_action_complexity,adversary_action_complexity,solved_rate:Cantilever-Adversarial-Mode1-v0,test_returns:Cantilever-Adversarial-Mode1-v0,reward_metric:Cantilever-Adversarial-Mode1-v0,node_Id:Cantilever-Adversarial-Mode1-v0,solved_rate:Cantilever-Adversarial-Mode2-v0,test_returns:Cantilever-Adversarial-Mode2-v0,reward_metric:Cantilever-Adversarial-Mode2-v0,node_Id:Cantilever-Adversarial-Mode2-v0,solved_rate:Cantilever-Adversarial-Mode3-v0,test_returns:Cantilever-Adversarial-Mode3-v0,reward_metric:Cantilever-Adversarial-Mode3-v0,node_Id:Cantilever-Adversarial-Mode3-v0,solved_rate:Cantilever-Adversarial-Mode4-v0,test_returns:Cantilever-Adversarial-Mode4-v0,reward_metric:Cantilever-Adversarial-Mode4-v0,node_Id:Cantilever-Adversarial-Mode4-v0,solved_rate:Cantilever-Adversarial-Mode5-v0,test_returns:Cantilever-Adversarial-Mode5-v0,reward_metric:Cantilever-Adversarial-Mode5-v0,node_Id:Cantilever-Adversarial-Mode5-v0,solved_rate:Cantilever-Adversarial-Mode12-v0,test_returns:Cantilever-Adversarial-Mode12-v0,reward_metric:Cantilever-Adversarial-Mode12-v0,node_Id:Cantilever-Adversarial-Mode12-v0,solved_rate:Cantilever-Adversarial-Mode23-v0,test_returns:Cantilever-Adversarial-Mode23-v0,reward_metric:Cantilever-Adversarial-Mode23-v0,node_Id:Cantilever-Adversarial-Mode23-v0,solved_rate:Cantilever-Adversarial-Mode34-v0,test_returns:Cantilever-Adversarial-Mode34-v0,reward_metric:Cantilever-Adversarial-Mode34-v0,node_Id:Cantilever-Adversarial-Mode34-v0,solved_rate:Cantilever-Adversarial-Mode45-v0,test_returns:Cantilever-Adversarial-Mode45-v0,reward_metric:Cantilever-Adversarial-Mode45-v0,node_Id:Cantilever-Adversarial-Mode45-v0,solved_rate:Cantilever-Adversarial-Mode123-v0,test_returns:Cantilever-Adversarial-Mode123-v0,reward_metric:Cantilever-Adversarial-Mode123-v0,node_Id:Cantilever-Adversarial-Mode123-v0,solved_rate:Cantilever-Adversarial-Mode234-v0,test_returns:Cantilever-Adversarial-Mode234-v0,reward_metric:Cantilever-Adversarial-Mode234-v0,node_Id:Cantilever-Adversarial-Mode234-v0,solved_rate:Cantilever-Adversarial-Mode345-v0,test_returns:Cantilever-Adversarial-Mode345-v0,reward_metric:Cantilever-Adversarial-Mode345-v0,node_Id:Cantilever-Adversarial-Mode345-v0,solved_rate:Cantilever-Adversarial-Mode1234-v0,test_returns:Cantilever-Adversarial-Mode1234-v0,reward_metric:Cantilever-Adversarial-Mode1234-v0,node_Id:Cantilever-Adversarial-Mode1234-v0,solved_rate:Cantilever-Adversarial-Mode2345-v0,test_returns:Cantilever-Adversarial-Mode2345-v0,reward_metric:Cantilever-Adversarial-Mode2345-v0,node_Id:Cantilever-Adversarial-Mode2345-v0,solved_rate:Cantilever-Adversarial-Mode12345-v0,test_returns:Cantilever-Adversarial-Mode12345-v0,reward_metric:Cantilever-Adversarial-Mode12345-v0,node_Id:Cantilever-Adversarial-Mode12345-v0,sps
0,1754482616.0564075,,4.9375,0.0,0.0,0.0,0.0,1.0,17.248141765594482,0.0,4096,16,16,0,0.16104692952848504,0.006083467975258827,-1.2386590242385865e-08,2.9957315921783447,0,0.0,0.0,0.0,,,66.60416666666667,0.0,0.0,-0.025336990060976262,1.0295188015886425,[2184 1921 2823 1880 1655],0.0,-0.0717680673965961,1.2254189273113212,[2607 2679 1897   55 2191],0.0,0.5136283821731948,0.5136283821731948,[2101 2094 2821 1966 2192],0.2,-0.21940628153480582,1.3391140651003801,[2940 1835 2233 2637 2030],0.0,0.544143145208974,0.5441431452093901,[1767 2506 2313 2049 2282],0.0,0.24120689674445522,1.4915487803780918,[1769 2587 2410 1796 2191],0.0,0.4513491596817382,0.4513491596817382,[1849 2843 2664 2212 2195],0.0,0.6878190024515753,0.6878190024515753,[2016 2838 1987   64 2359],0.0,0.627128397810453,0.6271283978106467,[2861 2422 2233 3010 2024],0.0,0.245826214339736,0.245826214339736,[1849 2498 2656 2303 2612],0.0,0.4404209364173246,0.4404209364173246,[2776 2087 2238 2129 2445],0.0,0.12091555661991693,0.12091555661991693,[2271 2086 2652 2714 2286],0.0,0.15640089704898547,0.15640089704898547,[2597 2169 2152 1883 2863],0.0,0.05086115012683531,0.0508611501268353,[2437 2345 2661 2381 2863],0.0,0.04830716999283431,0.04830716999283431,[2436 2261 2488 1961 2697],25.670095693842573
1,1754482667.3126993,,4.75,0.0,0.0,0.0,0.0,1.0,29.056400060653687,0.0,24576,96,96,0,0.3896339316478723,0.003751738369464874,-1.6298145055770874e-08,2.9957315921783447,0,0.0,0.0,0.0,,,67.1875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.64087661999
2,1754482752.1523588,,4.3125,0.0,0.0,0.0,0.0,0.9999999999999999,27.92331576347351,0.0,61440,240,112,4,0.42978297433493184,0.009945733286440373,-4.097819328308106e-09,2.9957313537597656,0,0.0,0.0,0.0,,,66.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.36736877228608
3,1754482823.803374,3.75,,0.0,0.0,0.0,0.0,0.9999999999999997,17.741088569164276,0.0,94208,368,144,7,0.5636140402066298,0.009320173412561417,-1.1514965444803238e-05,2.9957299709320067,0,0.0,0.0,0.0,,,66.97916666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.8419651151625
4,1754482900.489683,3.5,,0.0,0.0,0.0,0.0,1.0,10.8262799680233,0.0,126976,496,176,10,0.3292168309608451,0.005040780641138554,-1.2856302782893181e-05,2.9957276821136474,0,0.0,0.0,0.0,,,66.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.059569016503
5,1754482984.4808254,5.25,,0.0,0.0,0.0,0.0,0.9999999999999997,21.206660568714142,0.0,163840,640,192,14,0.25063183012113954,0.00422988310456276,-1.8116133287549018e-05,2.9957225799560545,0,0.0,0.0,0.0,,,66.97916666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.84869287670531
6,1754483054.7860458,,4.5,0.0,0.0,0.0,0.0,0.9999999999999996,23.658999800682068,0.0,196608,768,224,17,0.5349233625366783,0.00593516631051898,-2.6077032089233397e-09,2.995716619491577,0,0.0,0.0,0.0,,,66.79166666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.32459716774827
7,1754483135.8881228,6.5,,0.0,0.0,0.0,0.0,0.9999999999999999,24.5198056101799,0.0,233472,912,240,21,0.4325723689870502,0.009429500065743923,-2.3836735635995865e-05,2.9957062244415282,0,0.0,0.0,0.0,,,66.95833333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.51217806559094
8,1754483221.2461927,3.75,,0.0,0.0,0.0,0.0,1.0,25.56462585926056,0.0,274432,1072,240,26,0.6446984325470847,0.006512002460658551,-8.97659920156002e-06,2.995685577392578,0,0.0,0.0,0.0,,,66.6875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.96467804301756
9,1754483307.7208385,4.75,,0.0,0.0,0.0,0.0,0.9999999999999999,30.389195680618286,0.0,315392,1232,240,31,0.22590012852791866,0.01026828084141016,-4.8123567830771206e-05,2.995630979537964,0,0.0,0.0,0.0,,,66.77083333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.80817071071837
10,1754483377.9288158,4.0,,0.0,0.0,0.0,0.0,1.0,13.74572217464447,0.0,348160,1360,272,34,0.6063517874748088,0.005068980064243079,-3.54275107383728e-05,2.99561185836792,0,0.0,0.0,0.0,,,67.1875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.74379767964206
11,1754483433.9317636,3.5,,0.0,0.0,0.0,0.0,0.9999999999999997,23.21624606847763,0.0,380928,1488,304,37,0.5501637953648697,0.00684241084381938,-4.8874132335186e-05,2.995514392852783,0,0.0,0.0,0.0,,,67.20833333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.69151619323804
12,1754483489.2549484,,5.8125,0.0,0.0,0.0,0.0,0.9999999999999998,30.18692135810852,0.0,413696,1616,336,40,0.2313156119778433,0.004006027150899172,-8.05594027042389e-09,2.995336961746216,0,0.0,0.0,0.0,,,67.20833333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.17896730555384
